title,location,area,price,details,url
BẤT ĐỘNG SẢN GẠCH VÀNG,"Phan Văn Trị, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh",54 m2,4.95 tỷ,"4 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu",https://propzy.net/nha-dat/ban-nha-moi-dep-1-lau-4-phong-hem-6m-phan-van-tri-binh-thanh-nb-03979/
"Thuê mặt bằng kinh doanh ở lại được hẻm xe hơi Đinh Công Tráng, Quận 1","Bùi Thị Xuân, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",115 m2,13.86 triệu,"4 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 2 Lầu",https://propzy.net/nha-dat/cho-thue-nha-1-lung-1-lau-hem-bui-thi-xuan-tan-binh-thue-01105/
BẤT ĐỘNG SẢN GẠCH VÀNG,"Trần Khắc Chân, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",80 m2,16.86 triệu,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 2 Lầu, 2 Máy lạnh",https://propzy.net/nha-dat/nha-thue-hem-xe-hoi-tran-khac-chan-quan-1-vi-tri-trung-tam-thue-01099/
BẤT ĐỘNG SẢN REVER,"Trần Quang Diệu, Phường 14, Quận 3, Thành phố Hồ Chí Minh",72 m2,12.86 triệu,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu, 2 Máy lạnh",https://propzy.net/nha-dat/cho-thue-nha-vi-tri-dep-3m-x-12m-hem-tran-quang-dieu-quan-3-thue-01100/
"[🏠ĐÃ THUÊ] Cho thuê nhà 1 lầu, 3m x 10m hẻm xe hơi hơi Hiệp Nhất – Tân Bình","Nguyễn Đình Chiểu, Phường 4, Quận Phú Nhuận, Thành phố Hồ Chí Minh","38,7 m2",2.55 tỷ,"1 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu",https://propzy.net/nha-dat/nha-tang-tret-chung-cu-39m2-hem-nguyen-dinh-chieu-phu-nhuan-nb-03973/
"Nhà thuê 2 lầu 4 phòng ngủ mặt tiền Xô Viết Nghệ Tĩnh, Bình Thạnh","Nguyễn Xí, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh",84 m2,14.9 triệu,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu",https://propzy.net/nha-dat/nha-thue-moi-dep-1-lau-2-phong-hem-xe-hoi-nguyen-xi-binh-thanh-thue-01070/
BẤT ĐỘNG SẢN GẠCH VÀNG,"Dương Bá Trạc, Phường 2, Quận 8, Thành phố Hồ Chí Minh",69 m2,4.15 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 2 Lầu",https://propzy.net/nha-dat/nha-sieu-dep-hem-duong-ba-trac-quan-8-so-hong-rieng-gia-tot-nb-03937/
BẤT ĐỘNG SẢN REVER,"Khu số, Phường 13, Quận Gò Vấp, Thành phố Hồ Chí Minh","91,5 m2",4.79 tỷ,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 1 Toilet, 1 Lầu",https://propzy.net/nha-dat/ban-nha-go-vap-2-phong-ngu-5-7m-x-10-5m-hem-khu-duong-so-nb-03968/
"[🏠ĐÃ THUÊ] Nhà thuê nguyên căn giá rẻ 50m2 hẻm Lạc Long Quân, Tân Bình","Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh",96 m2,12.9 triệu,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu, 1 Máy lạnh",https://propzy.net/nha-dat/cho-thue-nha-1-lau-3-phong-ngu-hem-xo-viet-nghe-tinh-binh-thanh-thue-01092/
"[🏠ĐÃ BÁN] Bán nhà hẻm Hoàng Hoa Thám, Phú Nhuận – Nhà xịn, Giá tốt","Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, Thành phố Hồ Chí Minh",73.5 m2,7.35 tỷ,"4 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 2 Lầu, 4 Máy lạnh",https://propzy.net/nha-dat/ban-nha-sieu-dep-4-phong-ngu-master-hem-doan-thi-diem-phu-nhuan-nb-02609/
"Nhà bán siêu đẹp hẻm Dương Bá Trạc Quận 8 – Sổ hồng riêng, Giá tốt","Khu Đường số, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh",90 m2,5.2 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 4 Toilet, 3 Lầu, 2 Máy lạnh",https://propzy.net/nha-dat/ban-nha-go-vap-sieu-dep-1-lung-2-lau-hem-xe-hoi-khu-duong-so-nb-03969/
"[🏠ĐÃ THUÊ] Cho thuê nhà 1 lầu 3 phòng ngủ hẻm Xô Viết Nghệ Tĩnh, Bình Thạnh","Nguyễn Văn Luông, Phường 12, Quận 6, Thành phố Hồ Chí Minh","82,1 m2",4.3 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 2 Lầu",https://propzy.net/nha-dat/ban-nha-quan-6-1-lung-1-lau-3-phong-hem-nguyen-van-luong-nb-03970/
"Bán nhà Gò Vấp siêu đẹp, 1 lửng 2 lầu hẻm xe hơi khu Đường số","Nguyễn Văn Cừ, Phường 2, Quận 5, Thành phố Hồ Chí Minh","28,5 m2",3.98 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 4 Toilet, 3 Lầu, 1 Máy lạnh",https://propzy.net/nha-dat/ban-nha-sieu-dep-2-lau-1-san-thuong-hem-nguyen-van-cu-quan-5-nb-03875/
"Bán nhà siêu đẹp 2 lầu 1 sân thượng hẻm Nguyễn Văn Cừ, Quận 5","Hồng Bàng, Phường 14, Quận 5, Thành phố Hồ Chí Minh",120 m2,15 triệu,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu, 3 Máy lạnh",https://propzy.net/nha-dat/cho-thue-nha-dep-1-lau-3-phong-hem-sat-mat-tien-hong-bang-quan-5-thue-01093/
"Nhà 1 trệt 1 lầu, hẻm Phạm Văn Chiêu Gò Vấp – Tiện ích đầy đủ","Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Thành phố Hồ Chí Minh","59,9 m2",3.38 tỷ,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu",https://propzy.net/nha-dat/nha-1-tret-1-lau-hem-pham-van-chieu-go-vap-tien-ich-day-du-nb-03971/
"Bán nhà siêu đẹp 1 lầu 3 phòng hẻm Lê Văn Duyệt, Bình Thạnh","Lê Văn Sỹ, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh",102 m2,13.5 triệu,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 1 Toilet, 1 Lầu",https://propzy.net/nha-dat/cho-thue-nha-3-2m-x-16m-hem-xe-hoi-le-van-sy-tan-binh-thue-01094/
Propzy.net ® Quảng cáo nhà đất kiểu Mỹ đầu tiên tại Việt Nam,"Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh","68,2 m2",5.55 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu, 3 Máy lạnh",https://propzy.net/nha-dat/ban-nha-sieu-dep-1-lau-3-phong-hem-le-van-duyet-binh-thanh-nb-03972/
Nhà thuê hẻm xe hơi Trần Khắc Chân Quận 1 – Vị trí trung tâm,"Nguyên Hồng, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh",112 m2,23.9 triệu,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 4 Toilet, 3 Lầu",https://propzy.net/nha-dat/nha-thue-3-lau-san-thuong-hem-xe-hoi-nguyen-hong-binh-thanh-thue-00902/
"[🏠ĐÃ BÁN] Nhà tầng trệt chung cư 39m2 hẻm Nguyễn Đình Chiểu, Phú Nhuận","Lạc Long Quân, Phường 5, Quận 11, Thành phố Hồ Chí Minh","103,4 m2",5.7 tỷ,"2 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 3 Lầu, 2 Máy lạnh",https://propzy.net/nha-dat/nha-sieu-dep-2-lau-1-san-thuong-hem-lac-long-quan-quan-11-nb-03432/
"Nhà thuê 3 lầu sân thượng hẻm xe hơi Nguyên Hồng, Bình Thạnh","Quang Trung, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh",86 m2,4.75 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 2 Toilet, 1 Lầu, 1 Máy lạnh",https://propzy.net/nha-dat/ban-nha-dep-view-san-bay-full-noi-that-hem-quang-trung-go-vap-nb-03974/
"Bán nhà đẹp view sân bay full nội thất hẻm Quang Trung, Gò Vấp","Cô Bắc, Phường 1, Quận Phú Nhuận, Thành phố Hồ Chí Minh","97,9 m2",6.6 tỷ,"4 Phòng ngủ, 1 Phòng khách, 1 Bếp, 5 Toilet, 3 Lầu",https://propzy.net/nha-dat/ban-nha-sieu-dep-duong-co-bac-phu-nhuan-gia-chi-66-ty-nb-03962/
"Bán nhà đẹp 2 lầu 1 sân thượng hẻm Trần Khắc Chân, Phú Nhuận","Trần Khắc Chân, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh","102,4 m2",5.85 tỷ,"3 Phòng ngủ, 1 Phòng khách, 1 Bếp, 4 Toilet, 3 Lầu",https://propzy.net/nha-dat/ban-nha-dep-2-lau-1-san-thuong-hem-tran-khac-chan-phu-nb-03975/
"Bán nhà Phú Nhuận mới đẹp – 2 lầu 1 sân thượng, hẻm Nhiêu Tứ","Lê Quang Định, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh","127,4 m2",7.15 tỷ,"4 Phòng ngủ, 1 Phòng khách, 1 Bếp, 3 Toilet, 2 Lầu",https://propzy.net/nha-dat/ban-nha-no-hau-2-lau-san-thuong-hem-le-quang-dinh-binh-thanh-nb-03976/
